NUMBER,RAJ2000,DEJ2000,X,Y,SPLUS_U,SPLUS_U_err,SPLUS_F378,SPLUS_F378_err,SPLUS_F395,SPLUS_F395_err,SPLUS_F410,SPLUS_F410_err,SPLUS_F430,SPLUS_F430_err,SPLUS_G,SPLUS_G_err,SPLUS_F515,SPLUS_F515_err,SPLUS_R,SPLUS_R_err,SPLUS_F660,SPLUS_F660_err,SPLUS_I,SPLUS_I_err,SPLUS_F861,SPLUS_F861_err,SPLUS_Z,SPLUS_Z_err,NDET,recno,Name,FHbeta,e_FHbeta,n_Ne-,Ne-,l_T[OIII],T[OIII],l_T[NII],T[NII],Copt,SimbadName,_RA,_DE,Separation
6172.0,12.98485,-71.41232,4610.18,2583.91,16.90231,0.013,16.873,0.016,16.775,0.019,17.25582,0.023,16.82599,0.022,15.424,0.01,17.21,0.02,16.19,0.012,13.964,0.013,17.351,0.02,17.732,0.045,17.364,0.036,12.0,17,SMP_SMC_17,,,*,5000.0," ",14800.0,:,14800.0,0.0,"SMP SMC 17  ",12.98517,-71.41225,0.4453593944106446
14918.0,14.0224,-70.32391,2273.5,9672.6,16.63531,0.017,16.763,0.02,16.617,0.022,16.99182,0.027,16.46999,0.022,15.731,0.018,16.55,0.019,15.922,0.023,13.77,0.025,17.085,0.028,17.403,0.038,17.257,0.024,12.0,20,SMP_SMC_20,3802.0,1.0,*,5000.0," ",12900.0,:,12900.0,0.05,"SMP SMC 20  ",14.02233,-70.32383,0.30023887056929566
112604.0,14.6523,-71.59695,1173.53,1303.46,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,20.355,0.103,99.0,99.0,19.135,0.047,18.777,0.083,18.707,0.071,4.0,22,SMP_SMC_22,1318.0,2.0," ",1700.0," ",24700.0," ",12200.0,0.43,"SMP SMC 22  ",14.65212,-71.59694,0.20771677791031234
717.0,14.91891,-71.63753,9264.04,1055.92,18.41991,0.059,18.922,0.111,18.48,0.092,99.0,99.0,18.44535,0.092,17.886,0.046,17.916,0.055,17.714,0.038,15.555,0.014,19.029,0.081,19.21,0.138,19.037,0.098,11.0,25,SMP_SMC_25,631.0,6.0," ",9800.0,:,21100.0," ",21100.0,0.23,"SMP SMC 25  ",14.91883,-71.63753,0.09072790115164114
4716.0,18.04518,-71.44744,2791.13,2328.05,19.10391,0.074,18.366,0.07,99.0,99.0,99.0,99.0,99.0,99.0,18.63,0.069,99.0,99.0,18.629,0.055,16.504,0.019,20.319,0.22,99.0,99.0,99.0,99.0,6.0,30,SMP_SMC_34,302.0,8.0," ",500.0," ",13000.0," ",10000.0,0.03,"SMP SMC 34  ",18.04542,-71.44739,0.32859049084090486
7933.0,10.34036,-72.75468,2684.03,1963.77,17.45391,0.017,17.175,0.015,17.45,0.024,18.02699,0.029,17.52207,0.026,16.029,0.014,17.53,0.031,16.712,0.017,14.564,0.021,17.754,0.031,18.09,0.053,17.604,0.041,12.0,5,SMP_SMC_5,,," ",3200.0," ",14500.0,:,14500.0,0.0,"SMP SMC 5   ",10.34029,-72.75467,0.08293015579324779
35553.0,8.16192,-71.69994,6994.62,8892.84,17.36791,0.021,17.294,0.023,17.318,0.029,17.83099,0.026,17.22907,0.019,15.872,0.014,18.224,0.035,16.646,0.023,14.465,0.027,17.827,0.04,18.125,0.051,17.781,0.046,12.0,2,SMP_SMC_2,,," ",3000.0," ",16200.0,:,16200.0,0.01,"SMP SMC 2   ",8.16179,-71.69986,0.32332349214386386
30113.0,11.7484,-72.8213,8564.41,1521.22,17.77206,0.02,17.824,0.025,17.842,0.037,18.16839,0.038,17.82712,0.034,16.755,0.021,17.084,0.022,17.325,0.023,15.189,0.016,18.399,0.047,18.617,0.063,18.459,0.055,12.0,10,SMP_SMC_10,1175.0,1.0," ",1500.0," ",11300.0," ",11300.0,0.26,"SMP SMC 10  ",11.74862,-72.82111,0.7228934346569706
76098.0,10.85549,-72.63863,10339.12,2657.68,17.13506,0.015,17.262,0.018,17.176,0.025,17.51239,0.025,17.17712,0.029,16.307,0.022,17.04,0.023,16.752,0.022,14.662,0.018,17.803,0.034,18.093,0.047,17.902,0.039,12.0,8,SMP_SMC_8,,,*,5000.0," ",13200.0,:,13200.0,0.26,"SMP SMC 8   ",10.85554,-72.63867,0.15369099311575674
118842.0,14.12815,-72.45063,3931.85,3977.72,18.34706,0.023,18.418,0.029,18.327,0.043,18.77439,0.051,18.15212,0.024,17.271,0.01,18.58,0.028,17.186,0.014,14.995,0.009,18.439,0.031,18.707,0.06,18.304,0.034,12.0,21,SMP_SMC_21,562.0,10.0," ",10200.0," ",24400.0," ",15700.0,0.39,"SMP SMC 21  ",14.12871,-72.45044,0.9150831819231328
