recno,Lambda,ID,PN,I(Lambda),n_I(Lambda),u_I(Lambda)
1,372.7,[OII],SMP001,19.2," "," "
2,374.9,"HeII,H12",SMP001,2.5," "," "
3,377.1,"H11,HeII,OIII",SMP001,4.1," "," "
4,379.8,H10,SMP001,5.3," "," "
5,382.0,HeI,SMP001,2.1," "," "
6,383.4,"HeII,H9",SMP001,7.5," "," "
7,386.9,[NeIII],SMP001,41.9," "," "
8,388.9,"H8,HeI",SMP001,13.3," "," "
9,396.9,"[NeIII],Hepsi",SMP001,27.9," "," "
10,402.6,HeI,SMP001,2.4," "," "
11,406.9,[SII],SMP001,1.3," "," "
12,407.6,[SII],SMP001,0.9," "," "
13,410.2,"Hdelta,NIII",SMP001,24.4," "," "
14,426.7,CII,SMP001,0.7," "," "
15,434.0,Hgamma,SMP001,45.8," "," "
16,436.3,[OIII],SMP001,8.6," "," "
17,447.2,HeI,SMP001,6.5," "," "
18,471.3,"[AriV],HeI,[NeIV]",SMP001,1.3," "," "
19,474.0,[ArIV],SMP001,0.5," "," "
20,486.1,Hbeta,SMP001,100.0," "," "
21,495.9,[OIII],SMP001,288.3," "," "
22,500.7,[OIII],SMP001,802.4," "," "
23,587.6,HeI,SMP001,22.7," "," "
24,630.0,[OI],SMP001,3.7," "," "
25,631.2,[SIII],SMP001,1.5," "," "
26,636.4,[OI],SMP001,1.6," "," "
27,656.3,Halpha,SMP001,277.1," "," "
28,658.3,[NII],SMP001,13.7," "," "
29,667.8,HeI,SMP001,5.0," "," "
30,671.7,[SII],SMP001,1.0," "," "
31,673.1,[SII],SMP001,1.7," "," "
32,706.5,HeI,SMP001,16.7," "," "
33,713.6,[ArIII],SMP001,12.5," "," "
34,728.1,HeI,SMP001,1.4," "," "
35,732.0,[OII],SMP001,13.6," "," "
36,733.0,[OII],SMP001,9.2," "," "
37,372.7,[OII],SMP005,225.7," "," "
38,374.9,"HeII,H12",SMP005,4.1," "," "
39,377.1,"H11,HeII,OIII",SMP005,4.3," "," "
40,379.8,H10,SMP005,5.9," "," "
41,383.4,"HeII,H9",SMP005,9.5," "," "
42,386.9,[NeIII],SMP005,5.7," "," "
43,388.9,"H8,HeI",SMP005,28.3," "," "
44,396.9,"[NeIII],Hepsi",SMP005,26.7," "," "
45,410.2,"Hdelta,NIII",SMP005,27.5," "," "
46,434.0,Hgamma,SMP005,45.8," "," "
47,436.3,[OIII],SMP005,3.8," "," "
48,447.2,HeI,SMP005,4.0," "," "
49,486.1,Hbeta,SMP005,100.0," "," "
50,495.9,[OIII],SMP005,95.4," "," "
51,500.7,[OIII],SMP005,270.3," "," "
52,587.6,HeI,SMP005,9.8," "," "
53,654.8,[NII],SMP005,4.1," "," "
54,656.3,Halpha,SMP005,,s," "
55,658.3,[NII],SMP005,13.1," "," "
56,667.8,HeI,SMP005,2.0," "," "
57,706.5,HeI,SMP005,2.0," "," "
58,713.6,[ArIII],SMP005,2.9," "," "
59,728.1,HeI,SMP005,0.6," "," "
60,732.0,[OII],SMP005,3.5," "," "
61,733.0,[OII],SMP005,3.7," "," "
62,334.0,OIII,SMP006,,n," "
63,334.6,[Nev],SMP006,,n," "
64,342.6,[Nev],SMP006,60.3," "," "
65,344.4,OIII,SMP006,30.3," "," "
66,372.7,[OII],SMP006,107.6," "," "
67,375.9,OIII,SMP006,6.1," "," "
68,377.1,"H11,HeII,OIII",SMP006,4.8," "," "
69,379.8,H10,SMP006,5.2," "," "
70,383.4,"HeII,H9",SMP006,9.4," "," "
71,386.9,[NeIII],SMP006,100.1," "," "
72,388.9,"H8,HeI",SMP006,20.9," "," "
73,396.9,"[NeIII],Hepsi",SMP006,48.9," "," "
74,406.9,[SII],SMP006,6.2," "," "
75,410.2,"Hdelta,NIII",SMP006,26.8," "," "
76,434.0,Hgamma,SMP006,47.9," "," "
77,436.3,[OIII],SMP006,15.8," "," "
78,447.2,HeI,SMP006,3.6," "," "
79,468.6,HeII,SMP006,36.8," "," "
80,471.3,"[AriV],HeI,[NeIV]",SMP006,4.8," "," "
81,472.5,[NeIV],SMP006,3.0," "," "
82,474.0,[ArIV],SMP006,4.5," "," "
83,486.1,Hbeta,SMP006,100.0," "," "
84,495.9,[OIII],SMP006,359.9," "," "
85,500.7,[OIII],SMP006,1032.8," "," "
86,541.2,HeII,SMP006,3.6," "," "
87,575.5,[NII],SMP006,0.7," "," "
88,587.6,HeI,SMP006,9.5," "," "
89,630.0,[OI],SMP006,8.2," "," "
90,631.2,[SIII],SMP006,1.9," "," "
91,636.4,[OI],SMP006,2.3," "," "
92,643.5,[ArV],SMP006,0.6," "," "
93,654.8,[NII],SMP006,10.0," "," "
94,656.3,Halpha,SMP006,285.0," "," "
95,658.3,[NII],SMP006,30.5," "," "
96,667.8,HeI,SMP006,2.8," "," "
97,671.7,[SII],SMP006,2.9," "," "
98,673.1,[SII],SMP006,4.5," "," "
99,700.6,[ArV],SMP006,1.7," "," "
100,706.5,HeI,SMP006,4.0," "," "
101,713.6,[ArIII],SMP006,6.3," "," "
102,723.7,[ArIV],SMP006,,n," "
103,728.1,HeI,SMP006,,n," "
104,732.0,[OII],SMP006,,n," "
105,733.0,[OII],SMP006,,n," "
106,372.7,[OII],SMP008,10.1," "," "
107,377.1,"H11,HeII,OIII",SMP008,2.0," "," "
108,379.8,H10,SMP008,4.9," "," "
109,382.0,HeI,SMP008,1.3," "," "
110,383.4,"HeII,H9",SMP008,5.2," "," "
111,386.9,[NeIII],SMP008,32.2," "," "
112,388.9,"H8,HeI",SMP008,12.4," "," "
113,396.9,"[NeIII],Hepsi",SMP008,23.7," "," "
114,402.6,HeI,SMP008,1.6," "," "
115,410.2,"Hdelta,NIII",SMP008,26.0," "," "
116,434.0,Hgamma,SMP008,49.1," "," "
117,436.3,[OIII],SMP008,4.8," "," "
118,447.2,HeI,SMP008,4.8," "," "
119,486.1,Hbeta,SMP008,100.0," "," "
120,495.9,[OIII],SMP008,182.4," "," "
121,500.7,[OIII],SMP008,553.0," "," "
122,587.6,HeI,SMP008,23.0," "," "
123,631.2,[SIII],SMP008,2.4," "," "
124,654.8,[NII],SMP008,6.9," "," "
125,656.3,Halpha,SMP008,289.4," "," "
126,658.3,[NII],SMP008,20.1," "," "
127,667.8,HeI,SMP008,7.0," "," "
128,706.5,HeI,SMP008,15.5," "," "
129,713.6,[ArIII],SMP008,13.8," "," "
130,728.1,HeI,SMP008,2.4," "," "
131,732.0,[OII],SMP008,13.4," "," "
132,733.0,[OII],SMP008,9.0," "," "
133,334.0,OIII,SMP015,2.3," "," "
134,342.6,[Nev],SMP015,1.7," "," "
135,344.4,OIII,SMP015,5.6," "," "
136,372.7,[OII],SMP015,84.3," "," "
137,374.9,"HeII,H12",SMP015,3.6," "," "
138,375.9,OIII,SMP015,1.9," "," "
139,377.1,"H11,HeII,OIII",SMP015,3.7," "," "
140,379.8,H10,SMP015,5.9," "," "
141,382.0,HeI,SMP015,1.5," "," "
142,383.4,"HeII,H9",SMP015,7.2," "," "
143,386.9,[NeIII],SMP015,100.9," "," "
144,388.9,"H8,HeI",SMP015,19.5," "," "
145,396.9,"[NeIII],Hepsi",SMP015,46.0," "," "
146,402.6,HeI,SMP015,2.9," "," "
147,406.9,[SII],SMP015,3.1," "," "
148,407.6,[SII],SMP015,1.2," "," "
149,410.2,"Hdelta,NIII",SMP015,27.8," "," "
150,434.0,Hgamma,SMP015,45.9," "," "
151,436.3,[OIII],SMP015,16.0," "," "
152,447.2,HeI,SMP015,3.6," "," "
153,454.1,HeII,SMP015,0.6," "," "
154,468.6,HeII,SMP015,31.3," "," "
155,471.3,"[AriV],HeI,[NeIV]",SMP015,2.4," "," "
156,474.0,[ArIV],SMP015,2.2," "," "
157,486.1,Hbeta,SMP015,100.0," "," "
158,492.2,HeI,SMP015,2.1," "," "
159,495.9,[OIII],SMP015,343.7," "," "
160,500.7,[OIII],SMP015,,s," "
161,541.2,HeII,SMP015,2.2," "," "
162,587.6,HeI,SMP015,18.0," "," "
