recno,Lambda,ID,PN,I(Lambda),n_I(Lambda)
1,372.7,[OII],SMP002,180.4," "
2,388.9,"H8,HeI",SMP002,17.0," "
3,396.9,"[NeIII],HeI",SMP002,15.7," "
4,410.2,"Hdelta,NIII",SMP002,25.7," "
5,434.0,Hgamma,SMP002,47.4," "
6,436.3,[OIII],SMP002,2.9," "
7,486.1,Hbeta,SMP002,100.0," "
8,495.9,[OIII],SMP002,88.4," "
9,500.7,[OIII],SMP002,249.2," "
10,587.6,HeI,SMP002,14.2," "
11,654.8,[NII],SMP002,13.0," "
12,656.3,Halpha,SMP002,284.9," "
13,658.3,[NII],SMP002,37.6," "
14,667.8,HeI,SMP002,3.7," "
15,706.5,HeI,SMP002,6.3," "
16,713.6,[ArIII],SMP002,10.1," "
17,372.7,[OII],SMP003,23.6," "
18,374.9,"HeII,HI2",SMP003,2.9," "
19,377.1,"H11,HeII,OIII",SMP003,3.7," "
20,379.8,H1O,SMP003,5.4," "
21,383.4,"HeII,H9",SMP003,7.4," "
22,386.9,[NeIII],SMP003,23.7," "
23,388.9,"H8,HeI",SMP003,19.0," "
24,396.9,"[NeIII],HeI",SMP003,29.1," "
25,402.6,HeI,SMP003,3.5," "
26,410.2,"Hdelta,NIII",SMP003,28.4," "
27,434.0,Hgamma,SMP003,46.3," "
28,436.3,[OIII],SMP003,6.4," "
29,447.2,HeI,SMP003,6.8," "
30,471.3,"[ArIV],HeI,[NeIV]",SMP003,1.1," "
31,486.1,Hbeta,SMP003,100.0," "
32,495.9,[OIII],SMP003,132.9," "
33,500.7,[OIII],SMP003,397.4," "
34,587.6,HeI,SMP003,11.4," "
35,630.0,[OI],SMP003,1.6," "
36,631.2,[SIII],SMP003,0.7," "
37,636.4,[OI],SMP003,0.6," "
38,654.8,[NII],SMP003,3.4," "
39,656.3,Halpha,SMP003,281.4," "
40,658.3,[NII],SMP003,9.7," "
41,667.8,HeI,SMP003,3.2," "
42,671.7,[SII],SMP003,0.3," "
43,673.1,[SII],SMP003,0.5," "
44,706.5,HeI,SMP003,8.0," "
45,713.6,[ArIII],SMP003,2.4," "
46,732.0,[OII],SMP003,5.5," "
47,733.0,[OII],SMP003,3.5," "
48,775.1,[ArIII],SMP003,0.7," "
49,342.6,[NeV],SMP006,26.7," "
50,344.4,OIII,SMP006,12.2," "
51,372.7,[OII],SMP006,98.4," "
52,377.1,"H11,HeII,OIII",SMP006,4.5," "
53,379.8,H1O,SMP006,5.8," "
54,383.4,"HeII,H9",SMP006,6.8," "
55,386.9,[NeIII],SMP006,93.7," "
56,388.9,"H8,HeI",SMP006,18.1," "
57,396.9,"[NeIII],HeI",SMP006,45.7," "
58,402.6,HeI,SMP006,3.1," "
59,406.9,[SII],SMP006,4.8," "
60,410.2,"Hdelta,NIII",SMP006,25.8," "
61,434.0,Hgamma,SMP006,46.6," "
62,436.3,[OIII],SMP006,16.0," "
63,447.2,HeI,SMP006,4.1," "
64,454.1,HeII,SMP006,1.7," "
65,468.6,HeII,SMP006,31.9," "
66,471.3,"[ArIV],HeI,[NeIV]",SMP006,3.8," "
67,474.0,[ArIV],SMP006,3.2," "
68,486.1,Hbeta,SMP006,100.0," "
69,495.9,[OIII],SMP006,373.1," "
70,500.7,[OIII],SMP006,,s
71,541.2,HeII,SMP006,4.7," "
72,587.6,HeI,SMP006,7.4," "
73,630.0,[OI],SMP006,6.9," "
74,631.2,[SIII],SMP006,1.4," "
75,636.4,[OI],SMP006,2.2," "
76,654.8,[NII],SMP006,11.3," "
77,656.3,Halpha,SMP006,279.3," "
78,658.3,[NII],SMP006,34.3," "
79,667.8,HeI,SMP006,3.5," "
80,671.7,[SII],SMP006,2.5," "
81,673.1,[SII],SMP006,5.1," "
82,700.6,[ArV],SMP006,1.1," "
83,706.5,HeI,SMP006,4.8," "
84,713.6,[ArIII],SMP006,8.0," "
85,732.0,[OII],SMP006,6.0," "
86,733.0,[OII],SMP006,4.7," "
87,775.1,[ArIII],SMP006,1.5," "
88,342.6,[NeV],SMP007,94.3," "
89,344.4,OIII,SMP007,16.8," "
90,372.7,[OII],SMP007,227.5," "
91,375.9,OIII,SMP007,6.8," "
92,377.1,"H11,HeII,OIII",SMP007,4.1," "
93,379.8,H1O,SMP007,4.3," "
94,383.4,"HeII,H9",SMP007,7.6," "
95,386.9,[NeIII],SMP007,75.1," "
96,388.9,"H8,HeI",SMP007,11.0," "
97,396.9,"[NeIII],HeI",SMP007,38.4," "
98,410.2,"Hdelta,NIII",SMP007,25.1," "
99,434.0,Hgamma,SMP007,47.6," "
100,436.3,[OIII],SMP007,31.4," "
101,468.6,HeII,SMP007,77.1," "
102,471.3,"[ArIV],HeI,[NeIV]",SMP007,8.0," "
103,474.0,[ArIV],SMP007,6.3," "
104,486.1,Hbeta,SMP007,100.0," "
105,495.9,[OIII],SMP007,335.8," "
106,500.7,[OIII],SMP007,,s
107,519.9,[NI],SMP007,11.7," "
108,541.2,HeII,SMP007,6.9," "
109,587.6,HeI,SMP007,5.6," "
110,630.0,[OI],SMP007,33.2," "
111,631.2,[SIII],SMP007,4.8," "
112,636.4,[OI],SMP007,12.3," "
113,654.8,[NII],SMP007,145.3," "
114,656.3,Halpha,SMP007,274.2," "
115,658.3,[NII],SMP007,425.8," "
116,667.8,HeI,SMP007,3.6," "
117,671.7,[SII],SMP007,10.2," "
118,673.1,[SII],SMP007,11.2," "
119,700.6,[ArV],SMP007,2.9," "
120,706.5,HeI,SMP007,3.2," "
121,713.6,[ArIII],SMP007,15.3," "
122,732.0,[OII],SMP007,11.8," "
123,733.0,[OII],SMP007,6.9," "
124,775.1,[ArIII],SMP007,4.6," "
125,342.6,[NeV],SMP013,4.8," "
126,344.4,OIII,SMP013,11.3," "
127,372.7,[OII],SMP013,61.3," "
128,374.9,"HeII,HI2",SMP013,11.6," "
129,377.1,"H11,HeII,OIII",SMP013,4.1," "
130,379.8,H1O,SMP013,6.0," "
131,383.4,"HeII,H9",SMP013,9.8," "
132,386.9,[NeIII],SMP013,98.5," "
133,388.9,"H8,HeI",SMP013,20.4," "
134,396.9,"[NeIII],HeI",SMP013,55.3," "
135,402.6,HeI,SMP013,5.8," "
136,406.9,[SII],SMP013,4.2," "
137,410.2,"Hdelta,NIII",SMP013,26.0," "
138,434.0,Hgamma,SMP013,46.7," "
139,436.3,[OIII],SMP013,19.7," "
140,447.2,HeI,SMP013,5.9," "
141,454.1,HeII,SMP013,2.0," "
142,468.6,HeII,SMP013,44.3," "
143,471.3,"[ArIV],HeI,[NeIV]",SMP013,5.7," "
144,474.0,[ArIV],SMP013,4.4," "
145,486.1,Hbeta,SMP013,100.0," "
146,495.9,[OIII],SMP013,360.8," "
147,500.7,[OIII],SMP013,,s
148,541.2,HeII,SMP013,3.6," "
149,587.6,HeI,SMP013,9.8," "
150,630.0,[OI],SMP013,2.3," "
151,631.2,[SIII],SMP013,1.5," "
152,654.8,[NII],SMP013,6.0," "
153,656.3,Halpha,SMP013,278.5," "
154,658.3,[NII],SMP013,14.4," "
155,667.8,HeI,SMP013,2.5," "
156,671.7,[SII],SMP013,1.6," "
157,673.1,[SII],SMP013,3.0," "
158,700.6,[ArV],SMP013,0.8," "
159,706.5,HeI,SMP013,3.3," "
160,713.6,[ArIII],SMP013,6.2," "
161,732.0,[OII],SMP013,2.6," "
162,733.0,[OII],SMP013,1.9," "
163,775.1,[ArIII],SMP013,2.0," "
164,342.6,[NeV],SMP014,78.3," "
165,372.7,[OII],SMP014,361.7," "
166,377.1,"H11,HeII,OIII",SMP014,8.0," "
167,383.4,"HeII,H9",SMP014,7.7," "
168,386.9,[NeIII],SMP014,156.7," "
169,388.9,"H8,HeI",SMP014,27.2," "
170,396.9,"[NeIII],HeI",SMP014,66.6," "
171,406.9,[SII],SMP014,9.2," "
172,407.6,[SII],SMP014,9.9," "
173,410.2,"Hdelta,NIII",SMP014,27.5," "
174,434.0,Hgamma,SMP014,48.0," "
175,436.3,[OIII],SMP014,25.6," "
176,447.2,HeI,SMP014,7.9," "
177,454.1,HeII,SMP014,5.7," "
178,468.6,HeII,SMP014,98.0," "
179,486.1,Hbeta,SMP014,100.0," "
180,495.9,[OIII],SMP014,247.0," "
181,500.7,[OIII],SMP014,,s
182,519.9,[NI],SMP014,22.3," "
183,587.6,HeI,SMP014,7.1," "
184,630.0,[OI],SMP014,33.6," "
185,631.2,[SIII],SMP014,12.2," "
186,636.4,[OI],SMP014,12.2," "
187,654.8,[NII],SMP014,255.2," "
188,656.3,Halpha,SMP014,278.7," "
189,658.3,[NII],SMP014,,s
190,671.7,[SII],SMP014,56.4," "
191,673.1,[SII],SMP014,46.4," "
192,706.5,HeI,SMP014,4.3," "
193,713.6,[ArIII],SMP014,21.5," "
194,732.0,[OII],SMP014,5.4," "
