recno,Lambda,ID,PN,Io(Lambda),n_Io(Lambda),Ic(Lambda),n_Ic(Lambda)
1,344.4,OIII,LMC-SMP004,7.5," ",8.2," "
2,372.7,[OII] doublet,LMC-SMP004,11.6," ",12.4," "
3,383.4,"He11, H9",LMC-SMP004,6.1," ",6.5," "
4,386.9,[NeIII],LMC-SMP004,83.2," ",88.1," "
5,388.9,"H8, HeI",LMC-SMP004,16.9," ",17.9," "
6,396.9,"[NeIII],Hepsilon",LMC-SMP004,38.2," ",40.2," "
7,410.2,"Hdelta, NIII",LMC-SMP004,24.0," ",25.1," "
8,434.0,Hgamma,LMC-SMP004,43.1," ",44.3," "
9,436.3,[OIII],LMC-SMP004,15.8," ",16.2," "
10,468.6,HeII,LMC-SMP004,38.1," ",38.5," "
11,486.1,Hbeta,LMC-SMP004,100.0," ",100.0," "
12,495.9,[OIII],LMC-SMP004,357.3," ",355.5," "
13,500.7,[OIII],LMC-SMP004,1046.9," ",1039.2," "
14,587.6,HeI,LMC-SMP004,6.4," ",6.1," "
15,656.3,Halpha,LMC-SMP004,309.5," ",287.5," "
16,667.8,HeI,LMC-SMP004,5.5," ",5.0," "
17,706.5,HeI,LMC-SMP004,2.2," ",2.0," "
18,713.6,[ArIII],LMC-SMP004,5.7," ",5.2," "
19,342.6,[NeV],LMC-SMP009,10.7," ",12.1," "
20,344.4,OIII,LMC-SMP009,5.9," ",6.7," "
21,372.7,[OII] doublet,LMC-SMP009,262.5," ",288.1," "
22,386.9,[NeIII],LMC-SMP009,93.8," ",101.6," "
23,388.9,"H8, HeI",LMC-SMP009,22.0," ",23.8," "
24,396.9,"[NeIII],Hepsilon",LMC-SMP009,46.1," ",50.2," "
25,410.2,"Hdelta, NIII",LMC-SMP009,25.9," ",27.5," "
26,434.0,Hgamma,LMC-SMP009,48.3," ",50.3," "
27,436.3,[OIII],LMC-SMP009,13.0," ",13.6," "
28,468.6,HeII,LMC-SMP009,39.5," ",40.0," "
29,486.1,Hbeta,LMC-SMP009,100.0," ",100.0," "
30,495.9,[OIII],LMC-SMP009,266.2," ",264.4," "
31,500.7,[OIII],LMC-SMP009,,s,," "
32,587.6,HeI,LMC-SMP009,11.0," ",10.3," "
33,654.8,[NII],LMC-SMP009,55.8," ",50.3," "
34,656.3,Halpha,LMC-SMP009,340.0," ",306.7," "
35,658.3,[NII],LMC-SMP009,225.8," ",203.5," "
36,671.7,[SII],LMC-SMP009,25.1," ",22.5," "
37,673.1,[SII],LMC-SMP009,38.8," ",34.7," "
38,706.5,HeI,LMC-SMP009,5.2," ",4.6," "
