recno,Name,Lambda,ID,F/Fb,cG,cLMC,I/Ib,Note
1,"J 41   ",1907/09,"C III] ",1.49,0.096,0.0,1.99," "
2,"SMP 4  ",1175/76,"C III  ",0.74,0.131,0.0,1.43," "
3,"SMP 4  ",1239/43,"N V    ",0.25,0.131,0.0,0.44,two components
4,"SMP 4  ",1335/36,"C II   ",0.29,0.131,0.0,0.47,emission overlying absorption
5,"SMP 4  ",1548/50,"C IV   ",2.49,0.131,0.0,3.62,deblended from [Ne V]
6,"SMP 4  ",1575,"[Ne V] ",0.53,0.131,0.0,0.76,"deblended from C IV, id uncertain"
7,"SMP 4  ",1640,"He II  ",1.51,0.131,0.0,2.16,"Voigt profile, G140L"
8,"SMP 4  ",1907/09,"C III] ",3.09,0.131,0.0,4.59," "
9,"SMP 9  ",1335/36,"C II   ",0.14,0.079,0.154,0.43," "
10,"SMP 9  ",1397/1407,"O IV]  ",0.06,0.079,0.154,0.18," "
11,"SMP 9  ",1548/50,"C IV   ",2.33,0.079,0.154,5.68,Voigt profile
12,"SMP 9  ",1640,"He II  ",0.91,0.079,0.154,2.08,"Voigt profile, G140L"
13,"SMP 9  ",1640,"He II  ",1.37,0.079,0.154,3.11,"Voigt profile, G230L"
14,"SMP 9  ",1907/09,"C III] ",3.75,0.079,0.154,7.94,Voigt profile
15,"SMP 9  ",2325-29,"C II]  ",1.23,0.079,0.154,2.43," "
16,"SMP 9  ",2423/25,[Ne IV],0.12,0.079,0.154,0.22," "
17,"SMP 9  ",2470,"[O II] ",0.07,0.079,0.154,0.13," "
18,"SMP 9  ",2733,"He II  ",0.06,0.079,0.154,0.09," "
19,"SMP 9  ",2796/2803,"Mg II  ",0.23,0.079,0.154,0.34,could be 2784 [Mg V]
20,"SMP 10 ",1239/43,"N V    ",0.09,0.103,0.072,0.22,"possible separate 1239 feature, P-Cygni, Voigt profile"
21,"SMP 10 ",1548/50,"C IV   ",0.32,0.103,0.072,0.58," "
22,"SMP 10 ",1640,"He II  ",0.19,0.103,0.072,0.33,G140L
23,"SMP 10 ",1907/09,"C III] ",1.59,0.103,0.072,2.76,"single feature, uncertain id"
24,"SMP 16 ",1239/43,"N V    ",0.36,0.088,0.063,0.8," "
25,"SMP 16 ",1397/1407,"O IV]  ",0.2,0.088,0.063,0.37," "
26,"SMP 16 ",1483/87,"N IV]  ",0.58,0.088,0.063,1.01," "
27,"SMP 16 ",1548/50,"C IV   ",0.41,0.088,0.063,0.7," "
28,"SMP 16 ",1640,"He II  ",1.4,0.088,0.063,2.29,"deblended from O III], G140L"
29,"SMP 16 ",1658-1666,"O III] ",0.14,0.088,0.063,0.23,deblended
30,"SMP 16 ",1750,"N III] ",0.53,0.088,0.063,0.84," "
31,"SMP 16 ",1907/09,"C III] ",0.92,0.088,0.063,1.49," "
32,"SMP 16 ",2325-29,"C II]  ",0.17,0.088,0.063,0.26,"deblended from [Ne IV] and [O II], Voigt profile"
33,"SMP 16 ",2423/25,[Ne IV],1.01,0.088,0.063,1.47,"deblended from C II] and [O II], Voigt profile"
34,"SMP 16 ",2470,"[O II] ",0.05,0.088,0.063,0.07,"deblended from C II] and [Ne IV], Voigt profile"
35,"SMP 18 ",1239/43,"N V    ",0.69,0.076,0.0,0.96,P-Cygni
36,"SMP 18 ",1548/50,"C IV   ",0.49,0.076,0.0,0.61,P-Cygni
37,"SMP 18 ",1907/09,"C III] ",2.89,0.076,0.0,3.64,"Voigt profile, G230L"
38,"SMP 18 ",1993,"C I    ",0.21,0.076,0.0,0.27,"marginal, deblended from C III], Voigt profile, G140L"
39,"SMP 18 ",2325-29,"C II]  ",0.14,0.076,0.0,0.17,"marginal, high errors"
40,"SMP 19 ",1247,"C III  ",0.11,0.076,0.117,0.31,could be 1239/43 N V
41,"SMP 19 ",1335/36,"C II   ",0.07,0.076,0.117,0.17," "
42,"SMP 19 ",1397/1407,"O IV]  ",0.1,0.076,0.117,0.23," "
43,"SMP 19 ",1483/87,"N IV]  ",0.07,0.076,0.117,0.15," "
