recno,[RP2006],ONames,RAJ2000,DEJ2000,Diam,Diampc,HRV,e_HRV,e_HRV2,Com
1,1607,Mo9,73.04745833333332,-70.21288888888888,4.0,0.97,225.7,,2.5,"e, p"
2,1606,MG4,73.18849999999999,-70.29697222222221,7.4,1.79,,,,"e, s"
3,1800,MG8,73.91579166666665,-68.57230555555554,9.4,2.28,303.3,20.3,,e
4,1895,MG9,74.08787499999998,-67.40624999999999,5.2,1.26,261.4,25.4,,"e, s, p"
5,1801,MG10,74.15745833333332,-67.68183333333333,5.8,1.41,263.4,22.0,,"e, s, p"
6,1608,Mo11,74.51345833333332,-70.4191111111111,6.2,1.5,244.9,,1.2,"e, p, in HII"
7,1687,Mo12,74.65416666666665,-69.59624999999998,4.7,1.14,260.2,25.8,,"c, H{alpha} only"
8,1688,Mo13,74.78779166666665,-69.84188888888887,5.4,1.31,245.9,26.7,,"e, H{alpha} only"
9,1896,MG11,74.82641666666666,-67.45108333333333,5.8,1.41,216.9,24.3,,"e, s, p"
10,1602,LM1-9 SMP13 WS4,75.00062499999999,-70.46124999999999,8.9,2.16,245.9,23.1,,irreg
11,1603,LM2-4 N184 SMP14 WS2,75.08675,-70.98080555555555,7.4,1.79,266.2,,1.4,"c, b"
12,1604,LM1-10 N186A SMP15 WS5,75.21970833333333,-70.22772222222221,11.5,2.79,191.3,,1.7,"e, irreg in SR"
13,1609,Mo14,75.40208333333332,-70.44219444444444,8.0,1.94,232.4,26.7,,"c, p, b star in NE"
14,1897,MG12,75.41779166666666,-66.77933333333333,6.0,1.45,284.7,23.2,,"e, H{alpha} only"
15,1677,LM1-11 SMP16,75.50824999999999,-69.81488888888887,9.8,2.38,253.9,20.2,,"e, b, irreg core, bp"
16,1684,Sa105,75.63708333333332,-69.43755555555555,6.0,1.45,268.3,23.3,,"c~e, p"
17,1678,LM1-12 N96 SMP17,75.71816666666666,-69.34813888888888,13.3,3.22,273.2,,1.8,e
18,1799,Sa106,75.77395833333333,-68.56027777777777,6.0,1.45,288.3,,1.3,"e, p, s"
19,1605,LM1-13 N188 SMP19 WS6,75.92187499999999,-70.23138888888887,11.0,2.67,239.7,,1.5,irreg in H{alpha}
20,1679,L95 SMP18,75.92770833333333,-70.11299999999999,8.6,2.08,243.1,17.9,,"e, irreg core"
21,1686,MG14,76.11541666666666,-68.96983333333333,6.3,1.52,262.7,32.5,,"c, s star NE & N"
22,1680,LM2-5 SMP20,76.16708333333332,-69.36099999999999,11.0,2.67,287.4,,1.3,"c, irreg core, bp"
23,1797,LM1-16 N97 SMP21 WS7,76.21724999999999,-68.65238888888888,14.0,3.39,250.3,,0.7,"c, b in red"
24,1802,MG15,76.39879166666665,-68.02780555555555,5.4,1.3,276.1,16.0,,"irreg, H{alpha}  only, in HII"
25,1681,SMP22,76.46133333333333,-69.04202777777776,8.6,2.08,271.9,,1.3,c
26,1798,LM1-17 N24 SMP23 WS8,76.53916666666666,-67.75713888888887,11.4,2.76,296.9,16.6,,"e, b"
27,1689,Mo16,76.56220833333332,-69.8068611111111,5.4,1.31,232.9,,1.4,"c~e, p"
28,1682,SMP24,76.57612499999999,-68.99191666666665,6.7,1.62,271.5,,0.9,"e, p"
29,1683,BE206 L124 SMP25,76.59958333333333,-69.0553611111111,11.5,2.79,192.6,23.7,,"c, irreg core"
30,1685,LM2-6 Sa107,76.68212499999998,-69.2605,6.9,1.67,266.6,21.4,,"c, 2 stars west"
31,1898,Mo17,76.85633333333332,-67.48041666666666,5.0,1.21,241.8,20.0,,"c, H{alpha} only"
32,1313,N101 SMP26,76.87749999999998,-69.13566666666665,11.4,2.76,253.6,27.9,,"e, b, Not PN"
33,1894,SMP27,76.97891666666666,-66.96258333333333,6.3,1.53,273.1,,3.0,"c, halo mainly N"
34,1395,SMP28,76.99045833333332,-68.86283333333333,6.3,1.53,264.8,,1.4,c
35,1396,LM1-19 N102 SMP29 WS9,77.01458333333332,-68.67119444444444,12.0,2.91,233.1,,0.8,"e, b"
36,1409,MG19,77.13279166666666,-68.16238888888888,4.0,0.97,266.2,,1.3,"c, s, H{alpha} only"
37,1552,LM2-8 SMP30,77.29408333333332,-66.89394444444443,8.8,2.13,282.8,20.4,,"c, bp"
38,1397,LM2-9 N25 SMP31,77.33399999999999,-67.79008333333333,9.4,2.28,261.5,23.3,,"e, b, Poss PN"
39,1114,LM1-20 N192 SMP32 WS10,77.40512499999998,-70.81891666666665,12.1,2.93,255.0,,1.4,"e, b"
40,1398,BE216 LM1-21 SMP33 WS11,77.53949999999999,-68.49833333333332,10.5,2.55,281.1,22.7,,c
41,1399,LM2-10 N106 SMP34,77.57149999999999,-68.80624999999999,10.0,2.42,266.4,16.3,,c~e
42,1400,LM1-23 N107 SMP36 WS13,77.66533333333332,-68.6011111111111,7.6,1.84,261.1,,1.7,e
43,1410,MG20,77.66766666666666,-68.17319444444443,6.6,1.6,283.3,,1.9,"c~e, px2, bp"
44,1237,Mo19,77.75191666666666,-70.08466666666666,5.4,1.31,274.6,,2.6,"e, with halo"
45,1401,LM1-24 N28 SMP37 WS14,77.76166666666666,-67.79966666666665,9.7,2.35,274.9,23.0,,e
46,1118,Mo20,77.79533333333332,-71.17399999999999,5.5,1.32,250.2,21.3,,"s, H{alpha} only"
47,1212,LM1-25 N110 SMP38 WS15,77.84875,-70.0323611111111,13.3,3.22,255.0,22.4,,"c, b"
48,1402,LM2-11 SMP39,77.92558333333332,-68.58324999999999,7.4,1.79,266.4,,1.2,"c~e, b"
