recno,[RP2006],st,Name,RAJ2000,DEJ2000,DiamHa,HRV,e_HRV,e_HRV2,Com
1,1695,T,RPJ 045233-700043,73.14154166666665,-70.01213888888888,11.5,267.6,,1.4,"e, b"
2,1758,T,RPJ 045345-695758,73.43783333333333,-69.96630555555555,10.0,273.3,,1.6,"c, b"
3,1636,T,RPJ 045353-704455,73.47383333333332,-70.74874999999999,5.0,249.9,18.4,,"e, f, H{alpha} only"
4,1714,T,RPJ 045403-693320,73.51483333333333,-69.55577777777776,5.0,278.0,,1.0,"c, b, s, p"
5,1716,P,RPJ 045424-692942,73.60204166666665,-69.49513888888887,27.0,255.0,21.0,,"e, b central zones"
6,1783,P,RPJ 045433-692035,73.64074999999998,-69.34324999999998,7.4,240.1,,2.6,"c, s, b, known els, VLE"
7,1659,T,RPJ 045446-701850,73.69504166666665,-70.314,6.0,245.3,20.7,,"e, f, H{alpha} only"
8,1709,T,RPJ 045453-693619,73.72133333333332,-69.60549999999999,8.0,273.1,,1.1,"c, f, H{alpha} only"
9,1748,T,RPJ 045503-693210,73.76324999999999,-69.53613888888889,4.5,246.9,16.0,,"e, f, H{alpha} only in HII"
10,1756,T,RPJ 045513-690019,73.80466666666666,-69.00541666666666,6.0,272.9,,1.0,"e, f, H{alpha} only"
11,1694,T,RPJ 045534-700220,73.89474999999999,-70.03897222222221,4.0,245.4,,0.9,"e, f, diffuse, H{alpha} only"
12,1731,T,RPJ 045646-691928,74.19349999999999,-69.32449999999999,6.3,249.3,,1.5,"e, s, halo to west, H{alpha} only"
13,1922,T,RPJ 045728-665347,74.36691666666665,-66.89658333333333,2.7,264.9,33.7,,"e, f, diffuse, weak H{alpha}"
14,1921,T,RPJ 045733-665258,74.388375,-66.88291666666666,3.4,321.0,22.7,,"e, f, s, H{alpha} only"
15,1712,T,RPJ 045751-693333,74.46483333333332,-69.55919444444443,3.6,201.7,,2.0,"c, f, H{alpha} only"
16,1740,T,RPJ 045754-691421,74.47524999999999,-69.23933333333332,4.2,272.4,,1.9,"c, s, b, H{alpha} only"
17,1872,L,RPJ 045828-675646,74.61812499999999,-67.94616666666666,4.0,,,,"'hour-glass', H{alpha} only, halo"
18,1807,T,RPJ 045829-685210,74.62170833333332,-68.86955555555555,4.4,316.3,,1.3,"'hour-glass', f, H{alpha} only"
19,1808,L,RPJ 045830-685214,74.62616666666666,-68.87077777777777,2.2,,,,"e, f, s, H{alpha} only"
20,1805,T,RPJ 045855-685036,74.73062499999999,-68.84338888888888,5.0,291.0,18.8,,"c, f, diffuse, H{alpha} only, near stars"
21,1803,T,RPJ 045855-685301,74.73249999999999,-68.88377777777777,7.4,301.2,,1.4,"e, f, diffuse"
22,1876,T,RPJ 045859-675241,74.74699999999999,-67.8782222222222,3.0,202.3,,2.3,"c, f, s, H{alpha} only"
23,1930,P,RPJ 045920-664559,74.83558333333332,-66.76658333333333,3.0,352.0,,39.0,"e, f, s, H{alpha} only"
24,1725,T,RPJ 045934-692242,74.89191666666666,-69.37838888888888,5.0,261.9,17.9,,"c, b, H{alpha} only, in HII stream"
25,1904,T,RPJ 045937-671805,74.90770833333332,-67.30138888888888,7.6,299.6,34.7,,"c, b, star to west"
26,1697,T,RPJ 050026-695607,75.10887499999998,-69.93533333333332,10.0,224.9,15.4,,"e, diffuse, p,"
27,1691,P,RPJ 050032-700049,75.13429166666666,-70.0136111111111,4.0,267.8,,0.4,"e, f, H{alpha} only, VLE"
28,1631,T,RPJ 050034-705200,75.14358333333332,-70.86669444444443,3.3,293.3,18.0,,"c, s, b, H{alpha} only"
29,1742,T,RPJ 050047-691122,75.19820833333333,-69.18944444444443,9.0,260.4,17.7,,"e, p, stars near"
30,1813,T,RPJ 050052-684717,75.21720833333332,-68.7881111111111,4.0,298.6,,1.1,"c, f, H{alpha} only, between 3 stars"
31,1868,T,RPJ 050058-680748,75.24270833333333,-68.13008333333332,2.3,291.2,15.4,,"c, s, b, H{alpha} only"
32,1864,T,RPJ 050108-681337,75.28333333333332,-68.2271111111111,5.5,243.5,,2.7,"e, s, b, H{alpha} only"
33,1664,L,RPJ 050118-701251,75.32512499999999,-70.21433333333333,8.7,225.2,52.0,,"c, b"
34,1638,T,RPJ 050135-704440,75.39724999999999,-70.7446111111111,5.0,287.2,,1.7,"e, f, H{alpha} only"
35,1938,T,RPJ 050142-663556,75.42599999999999,-66.59897222222222,5.0,296.7,24.1,,"c, s, f, H{alpha} only"
36,1721,T,RPJ 050148-692413,75.45145833333332,-69.40366666666665,5.0,269.9,,1.2,"e, p, halo"
37,1743,T,RPJ 050203-690945,75.51549999999999,-69.16263888888888,5.0,248.0,,1.0,"c, b, p"
38,1900,T,RPJ 050204-673343,75.51933333333332,-67.56211111111111,4.7,278.1,23.9,,"e, s, H{alpha} only"
39,1791,T,RPJ 050216-690403,75.56720833333333,-69.06752777777777,5.3,290.9,20.1,,"e, s, b, + star"
40,1853,T,RPJ 050230-682848,75.62791666666665,-68.48008333333333,9.0,279.3,,1.4,"e, b, + star"
41,1749,T,RPJ 050240-690423,75.66845833333332,-69.07319444444444,6.2,275.5,,1.1,"irreg, diffuse, H{alpha} only"
