recno,Name,Umag,e_Umag,Bmag,e_Bmag,n_Bmag,Vmag,e_Vmag,Imag,e_Imag,Jmag,e_Jmag,n_Jmag,Hmag,e_Hmag,n_Hmag,Kmag,e_Kmag,n_Kmag,[3_6],e_[3_6],n_[3_6],[4_5],e_[4_5],n_[4_5],[5_8],e_[5_8],n_[5_8],[8_0],e_[8_0],n_[8_0],[24],e_[24],n_[24],SimbadName,_RA,_DE
83,MG 74,,,,," ",,,,,17.666,0.114," *",,," ",,," ",,," ",,," ",,," ",,," ",,," ","MGPN LMC74   ",85.22875,-74.68833
238,SMP 79,,,,," ",,,,,15.888,0.035,"  ",15.518,0.049," ",14.473,0.043," ",,," ",,," ",,," ",,," ",,," ","SMP LMC 79   ",83.53604,-74.33531
240,SMP 81,,,,," ",,,,,15.99,0.035," *",16.032,0.068," ",15.292,0.072," ",,," ",,," ",,," ",,," ",,," ","SMP LMC 81   ",83.83683,-73.92508
603,RP4673,,,,," ",,,,,,,"  ",,," ",,," ",17.207,0.056," ",17.066,0.125," ",,," ",,," ",,," ",[RP2006] 4673,82.42904,-72.91558
71,MG 61,,,,," ",,,,,,,"  ",,," ",,," ",17.34,0.12," ",16.514,0.144," ",,," ",13.89,0.07," ",8.755,0.132," ","MGPN LMC61   ",83.30583,-72.61306
253,SMP 94,,,17.27,0.13," ",,,,,14.493,0.024," *",12.765,0.025," ",11.407,0.023," ",,," ",,," ",,," ",,," ",,," ","SMP LMC 94   ",88.53971,-73.04281
586,RP4041,,,,," ",,,,,,,"  ",,," ",,," ",17.527,0.139," ",16.898,0.145," ",,," ",,," ",,," ",[RP2006] 4041,86.50042,-72.49194
92,MG 84,17.933,0.043,19.389,0.051," ",18.619,0.027,19.502,0.087,,,"  ",,," ",,," ",,," ",,," ",,," ",,," ",,," ","MGPN LMC84   ",88.67292,-72.3925
585,RP4034,19.713,0.122,20.379,0.06," ",20.388,0.067,21.114,0.201,,,"  ",,," ",,," ",18.414,0.177," ",16.988,0.105," ",,," ",14.233,0.148," ",,," ",[RP2006] 4034,86.37179,-72.31208
246,SMP 87,,,16.6,," ",16.61,,17.775,,17.003,0.061," *",16.904,0.113," ",16.239,0.155," ",15.149,0.014," ",14.16,0.011," ",13.239,0.025," ",11.226,0.008," ",6.081,0.054," ","SMP LMC 87   ",85.283,-72.70233
233,SMP 74,15.961,0.054,16.327,0.032," ",15.199,0.113,17.082,0.033,16.226,0.11,"* ",16.129,0.24," ",15.14,," ",13.216,0.007," ",12.556,0.006," ",11.018,0.007," ",8.995,0.011," ",5.06,0.024," ","SMP LMC 74   ",83.37421,-71.87469
584,RP4029,21.281,0.366,19.925,0.154," ",20.709,0.103,20.645,0.229,20.18,0.21,"  ",,," ",,," ",,," ",,," ",,," ",,," ",,," ",[RP2006] 4029,86.12683,-71.60106
549,RP1951,20.933,0.439,21.332,0.17," ",20.125,0.097,19.384,0.079,,,"  ",18.55,0.27," ",,," ",,," ",,," ",,," ",,," ",,," ",[RP2006] 1951,84.77892,-71.32875
243,SMP 84,15.999,0.031,16.611,0.03," ",15.729,0.021,17.066,0.035,16.41,0.048," *",16.241,0.09," ",15.386,0.08," ",14.065,0.007," ",13.329,0.008," ",12.65,0.015," ",10.865,0.011," ",6.158,0.04," ","SMP LMC 84   ",84.22054,-71.89394
77,MG 67,18.455,0.076,19.615,0.071," ",18.873,0.101,19.854,0.095,20.04,0.24,"  ",19.04,0.23," ",,," ",17.496,0.09," ",16.58,0.11," ",14.58,0.168," ",9.14,0.07," ",,," ","MGPN LMC67   ",84.40875,-71.69417
73,MG 63,,,19.581,0.052," ",18.569,0.031,17.547,0.048,16.661,0.076," *",16.151,0.109," ",16.013,0.172," ",15.446,0.028," ",15.637,0.074," ",,," ",,," ",,," ","MGPN LMC63   ",83.54333,-71.72083
339,RP603,,,21.749,0.213," ",19.955,0.217,,,,,"  ",,," ",,," ",,," ",,," ",,," ",,," ",,," ","[RP2006] 603 ",83.37342,-71.41417
340,RP604,,,,," ",,,,,19.82,0.2,"  ",,," ",,," ",,," ",,," ",,," ",,," ",,," ","[RP2006] 604 ",83.36721,-71.41408
325,RP493,16.679,0.035,17.463,0.032," ",17.505,0.031,17.675,0.032,17.59,0.04,"  ",16.87,0.06," ",15.81,0.05," ",13.787,0.008," ",13.028,0.007," ",12.412,0.015," ",11.325,0.01," ",7.708,0.081," ","[RP2006] 493 ",84.29217,-71.38725
324,RP492,15.897,0.031,15.925,0.028," ",15.327,0.035,14.657,0.05,14.22,0.02,"  ",13.88,0.01," ",13.8,0.02," ",13.713,0.043," ",13.689,0.041," ",13.725,0.08," ",,," ",,," ","[RP2006] 492 ",84.05233,-71.29017
323,RP491,18.07,0.076,18.599,0.053," ",16.782,0.035,14.75,0.028,13.42,0.02,"  ",12.53,0.01," ",12.29,0.02," ",11.976,0.037," ",12.095,0.041," ",11.978,0.041," ",11.954,0.054," ",,," ","[RP2006] 491 ",84.04746,-71.28864
331,RP548,16.704,0.036,17.671,0.03," ",17.685,0.039,18.084,0.06,17.86,0.07,"  ",17.57,0.1," ",16.8,0.11," ",14.869,0.011," ",14.179,0.014," ",13.535,0.029," ",11.705,0.013," ",8.437,0.081," ","[RP2006] 548 ",83.28646,-71.30092
329,RP525,,,,," ",,,,,19.25,0.19,"  ",,," ",,," ",,," ",,," ",,," ",,," ",,," ","[RP2006] 525 ",83.12362,-71.18383
