Field ID RA DEC X_r Y_r s2n_r_psf s2n_J0660_psf s2n_i_psf CLASS_STAR_r CLASS_STAR_i u_psf J0378_psf J0395_psf J0410_psf J0430_psf g_psf J0515_psf r_psf J0660_psf i_psf J0861_psf z_psf e_u_psf e_J0378_psf e_J0395_psf e_J0410_psf e_J0430_psf e_g_psf e_J0515_psf e_r_psf e_J0660_psf e_i_psf e_J0861_psf e_z_psf
MC0118 iDR4_3_MC0118_0002512 30.696186065673828 -74.09912109375 1421.1099853515625 1250.010009765625 33.84375 36.099998474121094 19.339284896850586 1 1 18.70958709716797 18.13758659362793 17.969587326049805 17.9464168548584 17.99041748046875 18.112417221069336 18.06741714477539 18.2844295501709 18.145429611206055 18.536026000976562 18.611148834228516 18.65414810180664 0.032999999821186066 0.035999998450279236 0.04600000008940697 0.04399999976158142 0.032999999821186066 0.028999999165534973 0.03799999877810478 0.03200000151991844 0.029999999329447746 0.0560000017285347 0.06499999761581421 0.09799999743700027
MC0061 iDR4_3_MC0061_0007343 68.70252227783203 -70.26851654052734 2296.81005859375 1777.300048828125 24.613636016845703 25.186046600341797 26.414634704589844 1 1 99.0 99.0 99.0 99.0 99.0 19.308841705322266 19.02684211730957 18.4232120513916 17.900211334228516 18.07046890258789 17.95925521850586 17.86525535583496 99.0 99.0 99.0 99.0 99.0 0.05999999865889549 0.06599999964237213 0.04399999976158142 0.0430000014603138 0.04100000113248825 0.06599999964237213 0.06400000303983688
MC0137 iDR4_3_MC0137_0038149 26.77703094482422 -74.20252227783203 3606.7900390625 8690.5703125 34.935482025146484 67.6875 37.344825744628906 1 1 18.0707950592041 18.059795379638672 18.341794967651367 18.548696517944336 18.536697387695312 18.56669807434082 18.75569725036621 18.54065704345703 17.718656539916992 18.328767776489258 18.326719284057617 18.32971954345703 0.02199999988079071 0.02800000086426735 0.057999998331069946 0.054999999701976776 0.052000001072883606 0.024000000208616257 0.04600000008940697 0.03099999949336052 0.01600000075995922 0.028999999165534973 0.061000000685453415 0.05999999865889549
MC0137 iDR4_3_MC0137_0015372 27.2691707611084 -74.81312561035156 2834.590087890625 4675.81005859375 41.653846740722656 57.0 30.08333396911621 1 1 18.31709098815918 18.163089752197266 18.148090362548828 18.608413696289062 18.623931884765625 18.71541404724121 18.7694149017334 18.577226638793945 17.919227600097656 18.53590965270996 18.171794891357422 18.37479591369629 0.02800000086426735 0.03200000151991844 0.0430000014603138 0.0560000017285347 0.052000001072883606 0.026000000536441803 0.032999999821186066 0.026000000536441803 0.01899999938905239 0.035999998450279236 0.054999999701976776 0.05999999865889549
MC0078 iDR4_3_MC0078_0012417 42.875511169433594 -71.00177001953125 3337.719970703125 5256.25 34.935482025146484 36.099998474121094 26.414634704589844 1 1 18.973731994628906 18.826732635498047 19.04073143005371 19.245193481445312 19.170194625854492 19.136194229125977 19.165193557739258 18.766077041625977 18.45307731628418 18.693458557128906 18.645376205444336 18.674375534057617 0.039000000804662704 0.0430000014603138 0.07199999690055847 0.06800000369548798 0.06300000101327896 0.028999999165534973 0.041999999433755875 0.03099999949336052 0.029999999329447746 0.04100000113248825 0.06800000369548798 0.0689999982714653
MC0021 iDR4_3_MC0021_0043791 69.88197326660156 -66.09993743896484 7548.31982421875 3938.8798828125 33.84375 13.884614944458008 28.5 1 1 99.0 99.0 99.0 99.0 99.0 19.33926773071289 19.355268478393555 18.80481719970703 18.327817916870117 18.584064483642578 18.602949142456055 18.595949172973633 99.0 99.0 99.0 99.0 99.0 0.04699999839067459 0.11400000005960464 0.03200000151991844 0.07800000160932541 0.03799999877810478 0.08100000023841858 0.08100000023841858
MC0001 iDR4_3_MC0001_0015707 66.98883819580078 -63.463417053222656 7557.66015625 4209.4599609375 49.227272033691406 27.769229888916016 38.67856979370117 1 1 19.005226135253906 19.020225524902344 19.15322494506836 19.287050247192383 19.23805046081543 19.2220516204834 19.18505096435547 18.868732452392578 18.54273223876953 18.805665969848633 18.917695999145508 18.936695098876953 0.07800000160932541 0.03200000151991844 0.04800000041723251 0.04600000008940697 0.03999999910593033 0.023000000044703484 0.03799999877810478 0.02199999988079071 0.039000000804662704 0.02800000086426735 0.0949999988079071 0.09600000083446503
MC0146 iDR4_3_MC0146_0011885 69.39715576171875 -75.1639175415039 9861.7998046875 2318.7900390625 20.826923370361328 27.769229888916016 14.25 1 1 19.551969528198242 19.071969985961914 18.749969482421875 18.641626358032227 18.733627319335938 18.766626358032227 18.717626571655273 18.830907821655273 18.344907760620117 19.039501190185547 18.98736572265625 19.030364990234375 0.09600000083446503 0.0989999994635582 0.09099999815225601 0.07900000363588333 0.09700000286102295 0.05299999937415123 0.08299999684095383 0.052000001072883606 0.039000000804662704 0.07599999755620956 0.0949999988079071 0.09700000286102295
MC0105 iDR4_3_MC0105_0015631 60.125247955322266 -71.55850219726562 9842.01953125 9752.2998046875 29.2702693939209 28.5 15.926470756530762 1 1 19.419841766357422 19.304841995239258 19.180145263671875 19.385292053222656 19.260292053222656 19.345291137695312 19.359291076660156 18.98046875 18.710468292236328 18.954591751098633 18.989707946777344 18.988706588745117 0.05299999937415123 0.0689999982714653 0.07699999958276749 0.08399999886751175 0.07400000095367432 0.03400000184774399 0.06300000101327896 0.03700000047683716 0.03799999877810478 0.06800000369548798 0.09799999743700027 0.10899999737739563
MC0123 iDR4_3_MC0123_0017692 51.52437973022461 -73.33306884765625 6590.97021484375 6336.97021484375 28.5 33.84375 22.102041244506836 1 1 19.217975616455078 19.210975646972656 19.29497528076172 19.42974090576172 19.206741333007812 19.31374168395996 19.320741653442383 18.92173194885254 18.587732315063477 18.821815490722656 18.78356170654297 18.80156135559082 0.04800000041723251 0.06300000101327896 0.07999999821186066 0.09600000083446503 0.08100000023841858 0.032999999821186066 0.05700000002980232 0.03799999877810478 0.03200000151991844 0.04899999871850014 0.09300000220537186 0.10300000011920929
MC0117 iDR4_3_MC0117_0009311 25.79279136657715 -72.95071411132812 1454.469970703125 8773.849609375 25.186046600341797 36.099998474121094 12.168539047241211 1 1 19.368310928344727 19.479310989379883 19.242311477661133 99.0 19.341049194335938 18.841049194335938 19.47104835510254 18.933162689208984 16.848163604736328 19.932981491088867 99.0 99.0 0.07500000298023224 0.09600000083446503 0.11800000071525574 99.0 0.10100000351667404 0.039000000804662704 0.07999999821186066 0.0430000014603138 0.029999999329447746 0.08900000154972076 99.0 99.0
MC0122 iDR4_3_MC0122_0010129 49.480567932128906 -73.52427673339844 1580.2900390625 5021.43017578125 20.826923370361328 30.08333396911621 15.926470756530762 1 1 19.112499237060547 19.129499435424805 19.20549964904785 19.42524528503418 19.253244400024414 19.44724464416504 19.701244354248047 19.256860733032227 18.644861221313477 19.280593872070312 19.141921997070312 19.106922149658203 0.052000001072883606 0.0729999989271164 0.08399999886751175 0.10199999809265137 0.08900000154972076 0.05700000002980232 0.07699999958276749 0.052000001072883606 0.035999998450279236 0.06800000369548798 0.10999999940395355 0.09099999815225601
