Field,ID,RA_r,DEC_r,X_r,Y_r,s2n_r_psf,s2n_J0660_psf,s2n_i_psf,CLASS_STAR_r,CLASS_STAR_i,u_psf,J0378_psf,J0395_psf,J0410_psf,J0430_psf,g_psf,J0515_psf,r_psf,J0660_psf,i_psf,J0861_psf,z_psf,e_u_psf,e_J0378_psf,e_J0395_psf,e_J0410_psf,e_J0430_psf,e_g_psf,e_J0515_psf,e_r_psf,e_J0660_psf,e_i_psf,e_J0861_psf,e_z_psf,Name
b'MC0093',b'iDR4_3_MC0093_0155050',7.3384976,-72.23533,8596.47,5357.46,31.852942,57.0,17.190475,1,1,18.375795,18.373795,18.489796,18.556767,18.547768,18.488768,19.018766,18.843643,17.531643,19.330801,19.729782,19.574783,0.027,0.035,0.053,0.036,0.041,0.019,0.047,0.034,0.019,0.063,0.115,0.107,MGPN_SMC_3
b'MC0093',b'iDR4_3_MC0093_0237121',8.161891,-71.699936,6994.68,8892.81,47.086956,40.11111,27.075,1,1,17.3517,17.1917,17.1497,17.813404,17.207405,15.886405,18.230404,16.655298,14.493298,17.816986,18.105898,17.760899,0.021,0.023,0.029,0.026,0.019,0.014,0.035,0.023,0.027,0.04,0.051,0.046,LHA_115-N_2
b'MC0093',b'iDR4_3_MC0093_0391833',10.340383,-72.754684,2683.99,1963.73,63.705883,51.57143,34.935482,1,1,17.48263,17.11763,17.32663,18.016489,17.507488,16.05049,17.54349,16.729616,14.6006155,17.762304,18.082016,17.595016,0.017,0.015,0.024,0.029,0.026,0.014,0.031,0.017,0.021,0.031,0.053,0.041,LHA_115-N_5
b'MC0048',b'iDR4_3_MC0048_0001615',14.022394,-70.323906,9471.2,1394.05,57.0,108.3,29.27027,1,1,16.820835,16.844835,16.772835,17.136332,16.602331,15.804331,15.889331,16.009321,13.832322,17.07649,17.369806,99.0,0.026,0.032,0.037,0.048,0.036,0.024,0.023,0.019,0.01,0.037,0.061,99.0,LHA_115-N_54
b'MC0117',b'iDR4_3_MC0117_0000452',21.049377,-74.04228,10240.92,1595.2,77.35714,108.3,30.942858,1,1,18.409813,18.578812,18.215813,18.824123,18.290123,17.739122,17.668123,17.110441,15.003441,18.187788,18.358822,18.008821,0.03,0.046,0.054,0.07,0.052,0.026,0.031,0.014,0.01,0.035,0.067,0.053,LIN_536
b'MC0117',b'iDR4_3_MC0117_0009311',25.792791,-72.950714,1454.47,8773.85,25.186047,36.1,12.168539,1,1,19.36831,19.479311,19.242311,99.0,19.34105,18.84105,19.471048,18.933163,16.848164,19.932981,99.0,99.0,0.075,0.096,0.118,99.0,0.101,0.039,0.08,0.043,0.03,0.089,99.0,99.0,MGPN_SMC_13
b'MC0094',b'iDR4_3_MC0094_0050815',13.296437,-72.75207,5572.11,2014.93,51.57143,98.454544,28.5,1,1,18.078615,17.963884,17.809885,18.385569,17.965899,16.64749,18.17949,17.33292,15.16992,18.381996,18.609095,18.362095,0.024,0.024,0.037,0.046,0.036,0.013,0.032,0.021,0.011,0.038,0.044,0.048,LIN_239
b'MC0094',b'iDR4_3_MC0094_0137028',14.2186165,-72.35062,3743.68,4629.8,27.075,23.543478,18.355932,0,1,20.129316,19.495586,19.557587,19.66231,19.472641,19.46723,19.78023,18.60596,16.61696,19.524395,19.590937,19.488935,0.072,0.077,0.129,0.08,0.091,0.052,0.077,0.04,0.046,0.059,0.093,0.096,[JD2002]_17
b'MC0094',b'iDR4_3_MC0094_0174449',14.081082,-72.11618,3997.53,6167.91,67.6875,49.227272,43.32,1,1,17.092903,16.381172,17.403172,17.61094,17.568272,17.51386,18.01486,17.247084,15.523084,17.979637,18.230032,17.957031,0.015,0.018,0.027,0.023,0.023,0.013,0.023,0.016,0.022,0.025,0.042,0.037,LIN_302
b'MC0094',b'iDR4_3_MC0094_0183910',14.817113,-72.03332,2504.92,6682.69,90.25,90.25,51.57143,1,1,16.621494,16.335764,16.487764,17.019743,16.738071,16.115662,17.176662,16.28639,14.224391,17.327219,17.663378,17.368378,0.013,0.014,0.021,0.021,0.013,0.01,0.021,0.012,0.012,0.021,0.027,0.031,LHA_115-N_70
